order_id	order_profit
124	885
1391	520
2091	1800
2108	230
2558	805
2751	360
2930	840
4035	4575
5430	1520
6535	3165
11973	4540
12715	1935
14350	3870
14742	1540
15237	520
16012	1000
16240	2040
17339	1980
20645	1000
20814	1135
20914	2080
22103	1580
24928	940
25824	1275
26702	960
27443	210
28106	410
28543	1375
28774	5825
32313	4490
32918	3485
33684	2100
33780	1440
33899	1020
35330	2655
35995	470
36764	170
42314	735
47230	475
47954	3180
48000	1580
49616	3410
50030	4630
52587	3210
56905	2040
57775	460
58598	3030
59105	225
59590	3225
59930	500
60502	2025
61521	1485
62239	1015
63213	120
64013	1765
64068	160
64268	1435
64670	3850
65113	560
65559	880
66474	5280
67495	1540
68707	600
68783	645
70074	2280
70216	1840
70849	655
72097	1560
72309	1005
72357	4650
74454	5110
75938	1680
76803	35
77850	3440
79293	1475
79318	1090
80252	2145
82378	205
82545	1675
83474	2225
83618	120
83887	1730
83889	2120
84471	1240
85535	225
85787	1590
85794	120
87044	795
88114	1075
88503	4300
88509	1680
89159	380
96473	60
96721	940
96799	920
98100	1620
98423	1260
99220	1525
99246	1935
99324	1620
