warehouse_name	product	quantity	profit	percent_profit_product_of_warehouse	accumulated_percent_profit_product_of_warehouse	category
Мордор	билет в Израиль	9	8650	57.0957095709571	57.0957095709571	A
Мордор	автограф Стаса Барецкого	4	2130	14.059405940594061	71.15511551155116	B
Мордор	статуэтка Ленина	10	1560	10.297029702970297	81.45214521452145	B
Мордор	ломтик июльского неба	3	1240	8.184818481848184	89.63696369636963	B
Мордор	плюмбус	6	1170	7.7227722772277225	97.35973597359737	C
Мордор	подписка на suppi-блог	8	700	4.62046204620462	101.98019801980199	C
Мордор	зеленая пластинка	11	-300	-1.9801980198019802	100.0	C
гиперборея	билет в Израиль	21	19000	61.05398457583547	61.05398457583547	A
гиперборея	автограф Стаса Барецкого	12	5900	18.958868894601544	80.01285347043702	B
гиперборея	ломтик июльского неба	13	4730	15.199228791773777	95.2120822622108	C
гиперборея	плюмбус	9	1190	3.823907455012854	99.03598971722364	C
гиперборея	подписка на suppi-блог	12	600	1.9280205655526992	100.96401028277634	C
гиперборея	статуэтка Ленина	9	600	1.9280205655526992	102.89203084832904	C
гиперборея	зеленая пластинка	10	-900	-2.892030848329049	100.0	C
остров невезения	ломтик июльского неба	10	4230	28.932968536251707	28.932968536251707	A
остров невезения	статуэтка Ленина	18	3185	21.785225718194255	50.71819425444596	A
остров невезения	плюмбус	14	3175	21.716826265389876	72.43502051983583	B
остров невезения	билет в Израиль	3	2975	20.348837209302324	92.78385772913816	C
остров невезения	автограф Стаса Барецкого	2	1180	8.071135430916552	100.85499316005472	C
остров невезения	зеленая пластинка	9	-125	-0.8549931600547196	100.0	C
отель Лето	билет в Израиль	15	13075	59.56719817767654	59.56719817767654	A
отель Лето	автограф Стаса Барецкого	8	3975	18.109339407744876	77.67653758542141	B
отель Лето	ломтик июльского неба	9	3475	15.831435079726653	93.50797266514806	C
отель Лето	плюмбус	9	1425	6.492027334851937	100.0	C
отель Лето	статуэтка Ленина	10	825	3.758542141230068	103.75854214123007	C
отель Лето	подписка на suppi-блог	3	125	0.5694760820045558	104.32801822323462	C
отель Лето	зеленая пластинка	10	-950	-4.328018223234624	100.0	C
хутор близ Диканьки	автограф Стаса Барецкого	22	11685	38.62809917355372	38.62809917355372	A
хутор близ Диканьки	билет в Израиль	10	9190	30.3801652892562	69.00826446280992	A
хутор близ Диканьки	плюмбус	27	4635	15.322314049586778	84.3305785123967	B
хутор близ Диканьки	статуэтка Ленина	21	2865	9.47107438016529	93.80165289256199	C
хутор близ Диканьки	ломтик июльского неба	7	2730	9.024793388429753	102.82644628099175	C
хутор близ Диканьки	подписка на suppi-блог	10	855	2.8264462809917354	105.65289256198348	C
хутор близ Диканьки	зеленая пластинка	21	-1710	-5.652892561983471	100.0	C
